system   D            wsystem.c:583  maybe_parent_dir                 [   0.00054] Also searching C:\Users\f.gavioli\Desktop\ProgettoQuinta\ModuloMovimento\
d3d      D         d3d_disp.cpp:866  d3d_create_device                [   0.06465] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:874  d3d_create_device                [   0.06470] Success
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.06472] Resumed after wait.
d3d      I         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.06477] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.06480] Returning d3d_display: 004AD780
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.06482] al_display=004AD780
d3d      D         d3d_disp.cpp:1750 d3d_create_display_locked        [   0.06483] al_display->vt=004AD498
dtor     D               dtor.c:184  _al_register_destructor          [   0.06676] added dtor for object 0050A848, func 563727A7
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07038] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07042] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07043] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07045] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07046] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07048] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07049] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07050] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07051] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.07052] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.07054] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.07056] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.07058] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.07089] added dtor for object 0050CE10, func 56372595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.07619] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.07624] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08159] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08160] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08161] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08162] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08163] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08164] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08165] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08166] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08167] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.08168] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.08169] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.08170] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.08170] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.08193] added dtor for object 00540770, func 56372595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.08233] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.08235] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.09085] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.09090] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.09203] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.09207] _al_d3d_sync_bitmap (video) ref count == 1
